Variable,Mean,Median,Std Dev,Min,Max,Missing (%)
close_odds,40274.45808383234,15000.0,75249.164723178,150.0,500000.0,0.0
p_book,0.004168046514707436,0.0023449157240879644,0.007317468360996169,6.829965004309545e-05,0.15691307762171958,0.0
overround,2.8435086624885955,2.837654878313736,0.07778383345937882,2.5491820443692124,3.0740469067568954,0.0
field_size,267.9183632734531,288.0,61.396647588549705,60.0,312.0,0.0
price_rank,127.24670658682635,116.0,84.13529383278308,1.0,312.0,0.0
